Driver,LapTime,LapNumber,Compound,TyreLife,Team,Track,Rainfall,TrackTemp,LapTime_sec,LapTime_norm
ALO,92.28,19.0,INTERMEDIATE,19.0,Aston Martin,Melbourne,1,19.4,92.28,0.12123889715747556
ALO,92.61,20.0,INTERMEDIATE,20.0,Aston Martin,Melbourne,1,19.4,92.61,0.23664187502813303
ALO,92.545,21.0,INTERMEDIATE,21.0,Aston Martin,Melbourne,1,19.4,92.545,0.21391098544754966
ALO,93.282,22.0,INTERMEDIATE,22.0,Aston Martin,Melbourne,1,19.2,93.282,0.47164430269201746
ALO,92.51,23.0,INTERMEDIATE,23.0,Aston Martin,Melbourne,1,19.2,92.51,0.20167127567339013
ALO,91.665,24.0,INTERMEDIATE,24.0,Aston Martin,Melbourne,0,19.2,91.665,-0.09383028887420358
ALO,91.761,25.0,INTERMEDIATE,25.0,Aston Martin,Melbourne,0,19.2,91.761,-0.0602585134936522
ALO,91.343,26.0,INTERMEDIATE,26.0,Aston Martin,Melbourne,1,19.2,91.343,-0.206435618796483
ALO,90.895,27.0,INTERMEDIATE,27.0,Aston Martin,Melbourne,0,19.1,90.895,-0.3631039039057426
ALO,90.652,28.0,INTERMEDIATE,28.0,Aston Martin,Melbourne,0,19.1,90.652,-0.4480824603377709
ALO,89.718,29.0,INTERMEDIATE,29.0,Aston Martin,Melbourne,0,19.1,89.718,-0.774707858311087
ALO,89.374,30.0,INTERMEDIATE,30.0,Aston Martin,Melbourne,0,19.1,89.374,-0.8950067200914124
ALO,88.85,31.0,INTERMEDIATE,31.0,Aston Martin,Melbourne,0,19.1,88.85,-1.0782526607102758
ALO,88.819,32.0,INTERMEDIATE,32.0,Aston Martin,Melbourne,0,19.1,88.819,-1.0890935465102438
LEC,98.19,8.0,INTERMEDIATE,8.0,Ferrari,Melbourne,0,19.1,98.19,2.188001319022896
LEC,94.933,9.0,INTERMEDIATE,9.0,Ferrari,Melbourne,0,19.1,94.933,1.0490088980388588
LEC,93.539,10.0,INTERMEDIATE,10.0,Ferrari,Melbourne,0,19.1,93.539,0.5615187430337135
LEC,94.251,11.0,INTERMEDIATE,11.0,Ferrari,Melbourne,0,19.1,94.251,0.8105094104394981
LEC,93.536,12.0,INTERMEDIATE,12.0,Ferrari,Melbourne,0,19.3,93.536,0.5604696250530712
LEC,92.198,13.0,INTERMEDIATE,13.0,Ferrari,Melbourne,0,19.3,92.198,0.09256300568658203
LEC,92.448,14.0,INTERMEDIATE,14.0,Ferrari,Melbourne,1,19.3,92.448,0.1799895040734442
LEC,91.846,15.0,INTERMEDIATE,15.0,Ferrari,Melbourne,0,19.3,91.846,-0.030533504042116282
LEC,91.832,16.0,INTERMEDIATE,16.0,Ferrari,Melbourne,1,19.3,91.832,-0.03542938795178406
LEC,92.502,17.0,INTERMEDIATE,17.0,Ferrari,Melbourne,1,19.4,92.502,0.19887362772500713
LEC,92.614,18.0,INTERMEDIATE,18.0,Ferrari,Melbourne,1,19.4,92.614,0.23804069900232452
LEC,91.861,19.0,INTERMEDIATE,19.0,Ferrari,Melbourne,1,19.4,91.861,-0.025287914138904355
LEC,91.756,20.0,INTERMEDIATE,20.0,Ferrari,Melbourne,1,19.4,91.756,-0.062007043461387856
LEC,91.159,21.0,INTERMEDIATE,21.0,Ferrari,Melbourne,1,19.4,91.159,-0.27078152160921265
LEC,90.695,22.0,INTERMEDIATE,22.0,Ferrari,Melbourne,1,19.2,90.695,-0.4330451026152333
LEC,91.551,23.0,INTERMEDIATE,23.0,Ferrari,Melbourne,1,19.2,91.551,-0.13369677213861422
LEC,90.732,24.0,INTERMEDIATE,24.0,Ferrari,Melbourne,0,19.2,90.732,-0.4201059808539756
LEC,90.251,25.0,INTERMEDIATE,25.0,Ferrari,Melbourne,0,19.2,90.251,-0.5883145637502964
LEC,90.34,26.0,INTERMEDIATE,26.0,Ferrari,Melbourne,1,19.2,90.34,-0.557190730324574
LEC,90.563,27.0,INTERMEDIATE,27.0,Ferrari,Melbourne,0,19.2,90.563,-0.47920629376349333
LEC,89.723,28.0,INTERMEDIATE,28.0,Ferrari,Melbourne,0,19.1,89.723,-0.7729593283433515
LEC,89.492,29.0,INTERMEDIATE,29.0,Ferrari,Melbourne,0,19.1,89.492,-0.8537414128528101
LEC,89.367,30.0,INTERMEDIATE,30.0,Ferrari,Melbourne,0,19.1,89.367,-0.8974546620462412
LEC,89.546,31.0,INTERMEDIATE,31.0,Ferrari,Melbourne,0,19.1,89.546,-0.8348572892012472
LEC,89.337,32.0,INTERMEDIATE,32.0,Ferrari,Melbourne,0,19.1,89.337,-0.9079458418526651
LEC,86.831,42.0,HARD,9.0,Ferrari,Melbourne,0,19.3,86.831,-1.7843090616825714
LEC,85.271,43.0,HARD,10.0,Ferrari,Melbourne,0,19.3,85.271,-2.3298504116165923
LEC,96.429,46.0,HARD,13.0,Ferrari,Melbourne,1,19.3,96.429,1.5721690643858404
LEC,96.38,52.0,INTERMEDIATE,5.0,Ferrari,Melbourne,0,18.7,96.38,1.555033470702013
LEC,92.731,53.0,INTERMEDIATE,6.0,Ferrari,Melbourne,0,18.7,92.731,0.2789563002473726
LEC,91.082,54.0,INTERMEDIATE,7.0,Ferrari,Melbourne,0,18.7,91.082,-0.29770888311237054
LEC,89.975,55.0,INTERMEDIATE,8.0,Ferrari,Melbourne,0,18.7,89.975,-0.684833417969396
LEC,89.801,56.0,INTERMEDIATE,9.0,Ferrari,Melbourne,0,18.7,89.801,-0.7456822608466493
LEC,90.964,57.0,INTERMEDIATE,10.0,Ferrari,Melbourne,0,18.7,90.964,-0.33897419035096776
STR,98.664,8.0,INTERMEDIATE,4.0,Aston Martin,Melbourne,0,19.1,98.664,2.353761959964388
STR,96.253,9.0,INTERMEDIATE,5.0,Aston Martin,Melbourne,0,19.1,96.253,1.5106208095214888
STR,95.14,10.0,INTERMEDIATE,6.0,Aston Martin,Melbourne,0,19.1,95.14,1.1213980387031786
STR,94.972,11.0,INTERMEDIATE,7.0,Aston Martin,Melbourne,0,19.1,94.972,1.062647431787205
STR,94.426,12.0,INTERMEDIATE,8.0,Aston Martin,Melbourne,0,19.3,94.426,0.8717079593103007
STR,93.899,13.0,INTERMEDIATE,9.0,Aston Martin,Melbourne,0,19.3,93.899,0.6874129007107949
STR,93.097,14.0,INTERMEDIATE,10.0,Aston Martin,Melbourne,1,19.3,93.097,0.4069486938857387
STR,92.382,15.0,INTERMEDIATE,11.0,Aston Martin,Melbourne,0,19.3,92.382,0.15690890849931668
STR,92.554,16.0,INTERMEDIATE,12.0,Aston Martin,Melbourne,1,19.3,92.554,0.2170583393894768
STR,93.388,17.0,INTERMEDIATE,13.0,Aston Martin,Melbourne,1,19.4,93.388,0.5087131380080501
STR,93.631,18.0,INTERMEDIATE,14.0,Aston Martin,Melbourne,1,19.4,93.631,0.5936916944400784
STR,92.684,19.0,INTERMEDIATE,15.0,Aston Martin,Melbourne,1,19.4,92.684,0.26252011855064356
STR,92.58,20.0,INTERMEDIATE,16.0,Aston Martin,Melbourne,1,19.4,92.58,0.22615069522170916
STR,92.429,21.0,INTERMEDIATE,17.0,Aston Martin,Melbourne,1,19.2,92.429,0.17334509019604571
STR,94.269,22.0,INTERMEDIATE,18.0,Aston Martin,Melbourne,1,19.2,94.269,0.8168041183233524
STR,92.643,23.0,INTERMEDIATE,19.0,Aston Martin,Melbourne,1,19.2,92.643,0.24818217281519928
STR,92.102,24.0,INTERMEDIATE,20.0,Aston Martin,Melbourne,0,19.2,92.102,0.05899123030603065
STR,92.092,25.0,INTERMEDIATE,21.0,Aston Martin,Melbourne,0,19.2,92.092,0.055494170370554374
STR,91.547,26.0,INTERMEDIATE,22.0,Aston Martin,Melbourne,1,19.2,91.547,-0.13509559611280575
STR,91.408,27.0,INTERMEDIATE,23.0,Aston Martin,Melbourne,0,19.1,91.408,-0.18370472921589964
STR,90.725,28.0,INTERMEDIATE,24.0,Aston Martin,Melbourne,0,19.1,90.725,-0.4225539228088095
STR,90.935,29.0,INTERMEDIATE,25.0,Aston Martin,Melbourne,0,19.1,90.935,-0.3491156641638425
STR,90.853,30.0,INTERMEDIATE,26.0,Aston Martin,Melbourne,0,19.1,90.853,-0.37779155563473604
